ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ควนโตน,ต.สามตำบล อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คอพรุ,อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คลองกุย,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองงา,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนตม,ต.หลักช้าง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองปีก,ต.สวนขัน อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองปีกเหนือ,ต.สวนขัน อ.ช้างกลาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองทราย,ต.เขาทอง อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองใหญ่,ต.ทับปริก อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองม่วง,ต.หนองทะเล อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองกำ,ต.คลองประสงค์ อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองประสงค์,ต.คลองประสงค์ อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนม่วง,ต.เขาดิน อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนม่วง สาขาทับพรุ,ต.เขาดิน อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนกลาง,ต.สินปุน อ.เขาพนม จ.กระบี่ 80240,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองนิน,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองหิน,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองโตนด,ต.เกาะลันตาน้อย อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองย่าหนัด,ต.เกาะกลาง อ.เกาะลันตา จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองยาง,ต.คลองยาง อ.เกาะลันตา จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองท่อมเหนือ,ต.คลองท่อมเหนือ อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองไคร,ต.คลองพน อ.คลองท่อม จ.กระบี่ 81170,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองปิ้ง,ต.คลองพน อ.คลองท่อม จ.กระบี่ 81170,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองแรด,ต.คลองพน อ.คลองท่อม จ.กระบี่ 81170,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนใต้,ต.ห้วยน้ำขาว อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองชะมวง,ต.พรุดินนา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
ควน,ต.พรุดินนา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองแรด,ต.แหลมสัก อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองหิน,ต.คลองหิน อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนโอ,ต.อ่าวลึกน้อย อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองยา (เจริญราษฎร์สามัคคี),ต.คลองยา อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองพวนประทีปบำรุง,ต.ปลายพระยา อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองปัญญา,ต.เขาเขน อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองพระยา,ต.เขาเขน อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนแดง,ต.ดินอุดม อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองเตาะ,ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองขนาน,ต.คลองขนาน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองหมาก,ต.คลองขนาน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองหวายเล็ก,ต.คลองขนาน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ควน,ต.คลองขนาน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองเขม้า,ต.คลองเขม้า อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนต่อ,ต.คลองเขม้า อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนเกาะจันทร์,ต.โคกยาง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ควนนกหว้า,ต.โคกยาง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองยวน,ต.ตลิ่งชัน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองรั้ว,ต.ตลิ่งชัน อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
คลองบอน,ต.เกาะยาวใหญ่ อ.เกาะยาว จ.พังงา 82160,เขตพื้นที่การศึกษาพังงา เขต 1
คลองเหีย,ต.เกาะยาวใหญ่ อ.เกาะยาว จ.พังงา 82160,เขตพื้นที่การศึกษาพังงา เขต 1
คลองดินเหนียว,ต.พรุใน อ.เกาะยาว จ.พังงา 83000,เขตพื้นที่การศึกษาพังงา เขต 1
ควน,ต.หล่อยูง อ.ตะกั่วทุ่ง จ.พังงา 82140,เขตพื้นที่การศึกษาพังงา เขต 1
คลองเคียน,ต.คลองเคียน อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
คลองไส,ต.คลองเคียน อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
คุรอด,ต.บางวัน อ.คุระบุรี จ.พังงา 82150,เขตพื้นที่การศึกษาพังงา เขต 1
คุระ,ต.แม่นางขาว อ.คุระบุรี จ.พังงา 82150,เขตพื้นที่การศึกษาพังงา เขต 1
คอกช้าง,ต.บางเหรียง อ.ทับปุด จ.พังงา 82180,เขตพื้นที่การศึกษาพังงา เขต 1
ควนแรด,ต.ทุ่งมะพร้าว อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
คลองห้าง,ต.ลำภี อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
คอเอน,ต.ไม้ขาว อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
ควนยูง,ต.ขุนทะเล อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84100,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองสุข,ต.บางชนะ อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ควนราชา,ต.ช้างซ้าย อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คีรีรอบ,ต.ป่าร่อน อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองนามิตรภาพที่ 201,ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองกรูด,ต.ทุ่งรัง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84290,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ควนนิมิต,ต.ทุ่งรัง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84290,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองสระ,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองคราม,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คอกช้าง,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คลองไม้แดง,ต.ปากหมาก อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองสงค์,ต.ประสงค์ อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ควนสูง,ต.คันธุลี อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คันธุลี,ต.คันธุลี อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองพา,ต.คลองพา อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองชะอุ่น,ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คชาธาร,ต.ท่าฉาง อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองวัว,ต.ท่าเคย อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ควนสุวรรณ,ต.คลองไทร อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ควนรา,ต.เขาถ่าน อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองหาเหนือ,ต.ลำพูน อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนเนียง,ต.ควนศรี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84270,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนพรุพี,ต.ควนศรี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนมหาชัย,ต.ควนศรี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84270,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองปราบ,ต.คลองปราบ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนใหม่,ต.น้ำพุ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนกองเมือง,ต.ทุ่งเตาใหม่ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองยา,ต.นาใต้ อ.บ้านนาเดิม จ.สุราษฎร์ธานี 84240,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองโร,ต.พ่วงพรมคร อ.เคียนซา จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนคีรีวงศ์,ต.พ่วงพรมคร อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนสามัคคี,ต.พ่วงพรมคร อ.เคียนซา จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองจัน,ต.เขาตอก อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนบก,ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองกา,ต.คลองฉนวน อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนสูง,ต.คลองฉนวน อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองลำพลา,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนกลาง,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนเจริญ,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนนิยม,ต.สินปุน อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนมหาชัย,ต.สินปุน อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองโหยน,ต.บางสวรรค์ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนยอ,ต.ไทรขึง อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนสว่างวัฒนา,ต.ไทรขึง อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองราง,ต.ลีเล็ด อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
คลองพังกลาง,ต.ชัยบุรี อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนพัฒนาประชาสรรค์,ต.คลองน้อย อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนสระ,ต.ไทรทอง อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนสินชัย,ต.ไทรทอง อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองของ,ต.ราชกรูด อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
คอกช้าง,ต.บางพระเหนือ อ.ละอุ่น จ.ระนอง 85130,เขตพื้นที่การศึกษาระนอง เขต 1
คลองเงิน,ต.ปากจั่น อ.กระบุรี จ.ระนอง 85110,เขตพื้นที่การศึกษาระนอง เขต 1
ควนไทรงาม,ต.นาคา อ.สุขสำราญ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
คอสน,ต.ท่ายาง อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
คอเตี้ย,ต.บางหมาก อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
ควนจำปา,ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
คลองสูบ,ต.วิสัยเหนือ อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
คันธทรัพย์,ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
คอกม้า,ต.บางสน อ.ปะทิว จ.ชุมพร 86160,เขตพื้นที่การศึกษาชุมพร เขต 1
ควนตะวันออก,ต.นาพญา อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
คลองกก,ต.บ้านควน อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
คลองระ,ต.วังตะกอ อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
คลองสง,ต.ละแม อ.ละแม จ.ชุมพร 86170,เขตพื้นที่การศึกษาชุมพร เขต 2
คลองเหนก,ต.ปังหวาน อ.พะโต๊ะ จ.ชุมพร 86180,เขตพื้นที่การศึกษาชุมพร เขต 2
คลองน้อย,ต.ทุ่งระยะ อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
คู,ต.ครน อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
ควนขี้แรด,ต.นาหว้า อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนไม้ไผ่,ต.นาหว้า อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
คูศักดิ์สิทธิ์,ต.คู อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
คูนายสังข์,ต.แค อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนหัวช้าง,ต.คลองเปียะ อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองกวางเขาวัง,ต.คลองกวาง อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองขุด,ต.ปากบาง อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองประดู่,ต.ปากบาง อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนตีหมุน,ต.ปากบาง อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนเจดีย์,ต.ลำไพล อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนหรัน,ต.ท่าม่วง อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนหมาก,ต.วังใหญ่ อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนหรัน,ต.เปียน อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
คอลอมุดอ,ต.จะแหน อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
คูหา,ต.คูหา อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองต่อ,ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนนา,ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนสะตอ,ต.ท่าชะมวง อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนขัน,ต.คูหาใต้ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองกั่ว,ต.เขาพระ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองเขาล้อน,ต.เขาพระ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนดินแดง,ต.เขาพระ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนเสม็ด,ต.ปริก อ.สะเดา จ.สงขลา 90120,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองแงะ(ชาติบุณยวิทยาคาร),ต.พังลา อ.สะเดา จ.สงขลา 90170,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองแงะ,ต.พังลา อ.สะเดา จ.สงขลา 90170,เขตพื้นที่การศึกษาสงขลา เขต 3
ควนตานี,ต.สำนักแต้ว อ.สะเดา จ.สงขลา 90120,เขตพื้นที่การศึกษาสงขลา เขต 3
ควน,ต.คูเต่า อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองเปล,ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองหวะ (ทวีรัตน์ราษฎร์บํารุง),ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองปอม,ต.บ้านพรุ อ.หาดใหญ่ จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนจง,ต.นาหม่อม อ.นาหม่อม จ.สงขลา 90310,เขตพื้นที่การศึกษาสงขลา เขต 1
ควนเนียง,ต.รัตภูมิ อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนเนียงใน,ต.รัตภูมิ อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนโส,ต.ควนโส อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองคล้า,ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองช้าง,ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองนกกระทุง,ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองท่าแตง,ต.ทำนบ อ.สิงหนคร จ.สงขลา 90280,เขตพื้นที่การศึกษาสงขลา เขต 1
คลองหอยโข่ง,ต.คลองหอยโข่ง อ.คลองหอยโข่ง จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนกบ,ต.คลองหอยโข่ง อ.คลองหอยโข่ง จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองขุด,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
ควนขัน,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
ควน,อ.เมืองสตูล จ.สตูล 91140,เขตพื้นที่การศึกษาสตูล เขต 1
ควนสตอ,อ.ควนโดน จ.สตูล 91160,เขตพื้นที่การศึกษาสตูล เขต 1
ควนโต๊ะเหลง,อ.ควนโดน จ.สตูล 91160,เขตพื้นที่การศึกษาสตูล เขต 1
ค่ายรวมมิตร,ต.ทุ่งนุ้ย อ.ควนกาหลง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ควนล่อน,ต.ควนกาหลง อ.ควนกาหลง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
คลองสองปาก,อ.ท่าเเพ จ.สตูล 91150,เขตพื้นที่การศึกษาสตูล เขต 1
ควนเก,อ.ท่าเเพ จ.สตูล 91150,เขตพื้นที่การศึกษาสตูล เขต 1
ควนฟ้าแลบ,ต.กำแพง อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
คลองน้ำเค็ม,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
คีรีวง,อ.ทุ่งหว้า จ.สตูล 91120,เขตพื้นที่การศึกษาสตูล เขต 1
คีรีวง สาขาบ้านราวปลา,อ.ทุ่งหว้า จ.สตูล 91120,เขตพื้นที่การศึกษาสตูล เขต 1
ควนปริง,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
คลองเต็ง,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
ควนสระแก้ว,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
คลองขุด,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
คลองชีล้อม,ต.คลองชีล้อม อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
ควนตุ้งกู,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
คลองลุ,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
คลองปะเหลียน,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนอินทนินงาม,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนเคี่ยม,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนยวน,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนยาง,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนโพธิ์,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนโพธิ์สาขาวัดพิกุลทอง,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
คลองทรายขาว,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ควนไม้ดำ,อ.ปะเหลียน จ.ตรัง 92180,เขตพื้นที่การศึกษาตรัง เขต 1
ควนพญา,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
ควนอารี,อ.ห้วยยอด จ.ตรัง 92160,เขตพื้นที่การศึกษาตรัง เขต 2
คลองคุ้ย,อ.ห้วยยอด จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 2
ควนเลียบ,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
ควนตัง,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
คลองโตน,ต.เขาวิเศษ อ.วังวิเศษ จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
