กะทุ่มลาย,ต.ลำตาเสา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
กงกะยาง,ต.บ้านโคก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
กกไทร,ต.นาป่า อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
กุฏิพระ,ต.ท่าข้าม อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
กกจั่น,ต.พุทธบาท อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
กล้วย,ต.บ้านกล้วย อ.ชนแดน จ.เพชรบูรณ์ 67190,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
กกโอ,ต.น้ำชุน อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
กลาง,ต.บ้านกลาง อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
กระทุ่มทองประชาสรรค์,ต.ซับสมบูรณ์ อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กองทูล,ต.กองทูล อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กองทูลสาขาบ้านวังชงโค,ต.กองทูล อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กองทูลสาขาบ้านหนองบัวทอง,ต.กองทูล อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กลาง,ต.วังท่าดี อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กันจุ,ต.กันจุ อ.บึงสามพัน จ.เพชรบูรณ์ 67160,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
กกกะบก,ต.โคกมน อ.น้ำหนาว จ.เพชรบูรณ์ 67260,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
กล้วย,ต.ป่าหวาย อ.สวนผึ้ง จ.ราชบุรี 70180,เขตพื้นที่การศึกษาราชบุรี เขต 1
กุ่ม,ต.บางแพ อ.บางแพ จ.ราชบุรี 70160,เขตพื้นที่การศึกษาราชบุรี เขต 2
กุยแหย่,ต.ลิ่นถิ่น อ.ทองผาภูมิ จ.กาญจนบุรี 71180,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
กองม่องทะ,ต.ไล่โว่ อ.สังขละบุรี จ.กาญจนบุรี 71240,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
กระเจา,ต.พังตรุ อ.พนมทวน จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
กรับใหญ่,ต.หนองฝ้าย อ.เลาขวัญ จ.กาญจนบุรี 72120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
กลอนโด,ต.กลอนโด อ.ด่านมะขามเตี้ย จ.กาญจนบุรี 71260,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
กิโลแปด,ต.สนามชัย อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
กกเชียง,ต.ห้วยขมิ้น อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
กล้วย,ต.วังยาว อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
กระทุ่มล้ม,ต.กระทุ่มล้ม อ.สามพราน จ.นครปฐม 73220,เขตพื้นที่การศึกษานครปฐม เขต 2
กลางมิตรภาพที่ 63,ต.หนองสองห้อง อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
กันละ,ต.ไม้เรียง อ.ฉวาง จ.นครศรีธรรมราช 80150,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
กุมแป,ต.บ้านตูล อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
กรุงหยันใต้,ต.ท่ายาง อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ก่องาม,ต.ทุ่งใหญ่ อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
กลอง,ต.ควนพัง อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
กุยเหนือ,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
กระบี่น้อย,ต.กระบี่น้อย อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
กอตง,ต.เขาดิน อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
กลางมิตรภาพที่ 44,ต.บ้านกลาง อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
กลาง,ต.บางเตย อ.เมืองพังงา จ.พังงา 82000,เขตพื้นที่การศึกษาพังงา เขต 1
กะปง,ต.กะปง อ.กะปง จ.พังงา 82170,เขตพื้นที่การศึกษาพังงา เขต 1
กระโสม (ผดุงนิคมวิทยา),ต.กระโสม อ.ตะกั่วทุ่ง จ.พังงา 82000,เขตพื้นที่การศึกษาพังงา เขต 1
กะไหล,ต.กะไหล อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
กลางประชาสรรค์,ต.คุระ อ.คุระบุรี จ.พังงา 82150,เขตพื้นที่การศึกษาพังงา เขต 1
กู้กู,ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000,เขตพื้นที่การศึกษาภูเก็ต เขต 1
กะตะ (ตรีทศยุทธอุปถัมภ์),ต.กะรน อ.เมืองภูเก็ต จ.ภูเก็ต 83100,เขตพื้นที่การศึกษาภูเก็ต เขต 1
กะทู้,ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120,เขตพื้นที่การศึกษาภูเก็ต เขต 1
กะหลิม,ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150,เขตพื้นที่การศึกษาภูเก็ต เขต 1
กำสนราษฎร์อุทิศ,ต.กรูด อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
กำสนประชาสรรค์,ต.ป่าร่อน อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
กงหนิง,ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
กลาง,ต.คลองพา อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
กอบแกบ,ต.เพิ่มพูนทรัพย์ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
กลาง,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
กำพวน,ต.กำพวน อ.สุขสำราญ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
กลาง,ต.หงษ์เจริญ อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
กลาง,ต.พะวง อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
กะทิง,ต.ทับช้าง อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
กรงอิตํา,ต.เกาะสะบ้า อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
กระอาน,ต.ท่าม่วง อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
กําแพงเพชร,ต.ท่าชะมวง อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
กองอิฐ,ต.คูหาใต้ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
กรอบ,ต.ควนโส อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
กุบังจามัง,อ.เมืองสตูล จ.สตูล 91140,เขตพื้นที่การศึกษาสตูล เขต 1
กาลันบาตู,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
กาเนะ,อ.เมืองสตูล จ.สตูล 94000,เขตพื้นที่การศึกษาสตูล เขต 1
กาลูบี,อ.เมืองสตูล จ.สตูล 91140,เขตพื้นที่การศึกษาสตูล เขต 1
กาลันยีตัน,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
กุบังปะโหลด,อ.ควนโดน จ.สตูล 91160,เขตพื้นที่การศึกษาสตูล เขต 1
กาแบง,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
กลางนา,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
กันตังใต้,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
กลิ้งกลอง,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
กาแลบือซา,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
กูวิง,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
กาฮง,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
กอแลบีเละ,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
กือยา,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
กาแลกูมิ,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
กาหยี,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
กลาง,อ.ปะนาเระ จ.ปัตตานี 94130,เขตพื้นที่การศึกษาปัตตานี เขต 1
กระหวะ,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
กระเสาะ,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
กูบังบาเดาะ,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
กูวิง,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
กาหงษ์,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
กะลาพอ,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
กระจูด,อ.ไม้แก่น จ.ปัตตานี 94220,เขตพื้นที่การศึกษาปัตตานี เขต 3
กระโด,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
กาแลสะนอ,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
กรือเซะ,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
กะรุบี,อ.กะพ้อ จ.ปัตตานี 94230,เขตพื้นที่การศึกษาปัตตานี เขต 3
กะตูปะ,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
กือลอง,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
กาโสด,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
กาตอง,ต.กาตอง อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
กอตอตือร๊ะ,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กาดือแป,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กาลอ,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กาลูปัง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กำปงบือแน,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กาเม็ง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กือแล,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
กรงปินัง,อ.กรงปินัง จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
กูวา,อ.กรงปินัง จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
กาแนะ,อ.เมืองนราธิวาส จ.นราธิวาส 96000,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูแบสาลอ,อ.เมืองนราธิวาส จ.นราธิวาส 96000,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูบู,อ.ตากใบ จ.นราธิวาส 96110,เขตพื้นที่การศึกษานราธิวาส เขต 2
กาเยาะมาตี,ต.กาเยาะมาตี อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
กะลูแป,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูเล็ง,ต.ยี่งอ อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูยิ,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กาบุ๊,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กาเด็ง,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กําปงปีแซ,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กาแร,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูแว(ประชาอุทิศ),อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
กาลิซา,ต.กาลิชา อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
กาเด็ง,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
กาหนั๊วะ,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
กอแนะเหนือ,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
กูจิงลือปะ,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
กาโดะ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
กูยิ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
กลูบี,อ.ศรีสาคร จ.นราธิวาส 96210,เขตพื้นที่การศึกษานราธิวาส เขต 1
กรือซอ,อ.แว้ง จ.นราธิวาส 96160,เขตพื้นที่การศึกษานราธิวาส เขต 2
กูวา,อ.แว้ง จ.นราธิวาส 96160,เขตพื้นที่การศึกษานราธิวาส เขต 2
กวาลอซีรา,อ.สุไหงโก-ลก จ.นราธิวาส 96120,เขตพื้นที่การศึกษานราธิวาส เขต 2
กูแบอีแก,อ.สุไหงโก-ลก จ.นราธิวาส 96120,เขตพื้นที่การศึกษานราธิวาส เขต 2
กาวะ,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
กูวา,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
กลูบี,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
กาแย,อ.จะแนะ จ.นราธิวาส 96220,เขตพื้นที่การศึกษานราธิวาส เขต 3